sound Sensor,soundLevel MAX4466,soundLevel MAX9814,Actual
72.2846,82.2869,70.35156,1
69.49506,82.28903,70.52005,1
69.45802,82.26346,70.59293,1
69.67793,82.14957,70.50247,1
73.93942,82.28265,70.45836,1
71.35156,82.26772,70.35753,1
73.50787,82.22066,70.43178,1
70.50578,82.04076,70.43769,1
68.64129,81.86823,70.35455,1
68.80289,82.20992,70.77676,1
70.70097,82.067,70.39919,1
72.09489,82.18411,70.46425,1
68.2663,80.80992,70.4229,1
69.71404,82.28052,70.44065,1
72.41762,82.21851,70.45245,1
70.30609,82.28052,71.19026,1
67.32272,82.15606,70.62192,1
72.5746,82.28052,70.40215,1
73.39066,82.2378,71.13862,1
69.71404,82.22495,71.16312,1
71.49953,82.29542,71.06194,1
70.66875,82.25705,70.56676,1
69.64165,81.69904,70.46719,1
68.0943,80.87278,70.36647,1
72.49646,82.05389,71.21732,1
73.36702,82.20778,70.36051,1
73.12707,81.99905,70.41402,1
69.78583,82.30605,70.40512,1
72.33805,81.26465,70.36945,1
71.10943,81.88831,70.35455,1
73.0292,82.04295,70.8193,1
70.43973,82.067,71.22002,1
71.1706,82.13009,70.35156,1
69.27041,82.01004,70.35455,1
68.55935,82.25491,70.47897,1
71.10943,82.27625,70.43769,1
68.0943,82.00565,70.53175,1
67.51054,82.21636,70.36647,1
68.80289,82.14742,70.70542,1
71.14007,81.2814,70.5142,1
73.34332,81.52649,70.37838,1
72.2038,81.92834,70.34857,1
70.06718,81.87716,70.89532,1
68.30878,82.27625,70.38731,1
71.61613,81.35755,70.45541,1
69.49506,82.04076,70.35455,1
70.82871,81.55664,70.34559,1
72.09489,82.08009,70.35455,1
66.37057,81.27662,70.34857,1
69.38346,81.6922,70.60744,1
73.62354,82.10403,70.58422,1
75.11863,82.13442,70.44656,1
69.85703,81.79869,70.35455,1
71.04783,82.27838,70.35753,1
70.76508,82.2228,70.53175,1
69.67793,82.30817,70.94843,1
72.6263,82.28903,70.9929,1
70.37317,82.30817,70.47897,1
72.97984,82.28265,70.7597,1
73.71497,82.29542,70.66808,1
70.20451,82.21851,70.54052,1
72.93021,82.2869,70.35753,1
72.39118,82.19918,70.35753,1
69.8924,82.23994,70.45541,1
72.03991,81.58208,70.86162,1
72.5746,82.00344,70.40512,1
72.12225,82.26559,70.59874,1
74.2228,81.11489,70.41106,1
70.20451,82.08009,70.40512,1
70.89188,82.27625,70.41402,1
70.40651,82.2869,70.41994,1
70.13611,82.26772,70.36647,1
72.33805,82.29329,70.36349,1
72.03991,82.14957,70.70542,1
71.70255,82.2869,70.40215,1
70.60393,81.65794,71.06194,1
69.42082,82.30817,70.44656,1
71.20102,82.29754,71.34604,1
72.60049,82.12576,70.36945,1
73.55433,82.28052,70.40512,1
72.39118,82.06918,70.34857,1
71.29166,80.68538,71.07019,1
73.57745,81.24307,70.5142,1
72.75423,82.16254,70.88972,1
76.39377,82.06918,70.3754,1
73.91724,82.14742,70.43178,1
71.41106,81.57977,70.62192,1
73.07827,82.18842,70.48191,1
68.3931,82.2869,70.62192,1
66.93446,82.22495,70.44951,1
67.8744,82.09534,70.34857,1
68.92216,82.29754,70.88692,1
70.40651,82.10838,70.35753,1
69.99769,82.28265,70.43769,1
69.67793,82.04295,70.44065,1
72.33805,82.2869,70.47308,1
67.73972,82.17118,70.49366,1
66.264,81.21422,70.47308,1
71.23134,82.12141,70.63926,1
70.60393,82.23352,70.59293,1
70.53862,82.28477,70.36647,1
71.20102,80.53562,70.4613,1
73.07827,80.8903,70.4436,1
71.10943,82.1647,70.40512,1
70.6364,81.42834,71.03163,1
71.67384,82.25705,70.35156,1
71.70255,82.14308,70.35156,1
68.2663,82.24422,70.55511,1
69.30826,82.06481,70.68821,1
70.43973,82.20992,70.41994,1
73.64648,82.27625,70.37243,1
72.47026,82.2869,70.63059,1
71.73117,82.25064,70.49953,1
72.52258,82.3018,70.37243,1
73.91724,82.28265,70.53468,1
69.99769,82.31454,70.4229,1
69.8924,82.28903,70.3754,1
68.96155,82.14957,70.37838,1
69.71404,82.27838,70.38731,1
71.1706,82.2228,70.95679,1
74.26559,82.28477,70.63059,1
67.69437,82.13442,70.69395,1
70.9546,82.15174,70.77676,1
69.92764,81.93499,70.41106,1
70.0325,82.26132,70.35455,1
70.73309,82.18411,70.54052,1
73.76032,82.10838,70.8193,1
71.1706,81.86823,70.58422,1
73.895,81.15864,70.41994,1
71.70255,82.28903,70.86725,1
68.43497,81.80095,70.62192,1
68.35104,82.26772,71.32472,1
73.27184,82.14957,70.34857,1
72.52258,82.29967,70.35455,1
71.61613,81.61434,70.59874,1
68.43497,82.19057,70.40512,1
70.6364,82.25064,70.66808,1
74.62102,82.14308,71.29264,1
71.64503,82.27199,71.21461,1
70.86035,82.30817,70.8193,1
69.30826,82.05608,71.27119,1
69.92764,82.2869,70.44656,1
68.22363,82.2869,70.72546,1
69.67793,82.1149,70.35455,1
68.80289,81.67394,70.35753,1
67.17915,80.92025,70.67959,1
70.43973,81.61664,70.70255,1
72.49646,82.0517,71.28728,1
69.27041,81.589,70.35455,1
73.15136,82.17333,70.55511,1
70.17038,81.45415,70.81647,1
71.58713,82.1647,70.54344,1
70.70097,81.12707,70.55219,1
72.52258,81.32669,70.35455,1
69.03979,82.20348,70.41402,1
72.90529,81.49156,71.03163,1
70.3397,82.18626,70.61033,1
70.86035,82.2869,70.59293,1
72.01229,82.29116,70.36051,1
73.00455,82.3018,70.57841,1
68.43497,82.11056,70.69968,1
74.00565,82.3018,70.47308,1
72.72879,82.22495,70.39325,1
71.47014,82.28903,70.40512,1
72.60049,82.22066,70.95958,1
69.49506,82.1798,70.35753,1
70.79695,82.31029,70.36051,1
71.29166,82.21851,70.87568,1
72.36465,81.94386,70.34857,1
73.29573,82.17118,70.56676,1
73.93942,80.84769,70.34857,1
71.35156,82.30605,70.49366,1
68.80289,82.28265,70.45541,1
71.73117,82.2869,70.75685,1
70.2385,82.17118,70.95679,1
72.36465,82.20778,70.44951,1
71.64503,82.30392,70.99014,1
73.50787,82.03418,71.00676,1
70.98579,82.24208,70.65656,1
67.96303,82.26346,71.33273,1
69.8215,81.86152,70.61033,1
68.43497,81.86823,70.35156,1
71.58713,82.05608,70.49073,1
71.32166,82.08009,70.52005,1
73.71497,80.88529,70.5259,1
71.67384,81.93499,70.52005,1
72.49646,82.31666,70.39919,1
70.10172,82.30817,70.37243,1
70.70097,82.31666,70.55219,1
74.80346,82.01443,70.40215,1
72.85522,82.11056,70.49953,1
69.75001,81.96597,70.41994,1
68.68198,82.26346,71.22002,1
72.75423,81.96818,70.63059,1
70.27236,81.51719,70.59003,1
69.71404,82.23994,70.75685,1
69.92764,82.18196,70.7597,1
66.98396,82.31454,70.8588,1
73.82792,81.90835,70.41994,1
69.07866,82.29116,70.41698,1
69.11735,81.67623,70.40512,1
68.64129,82.18411,70.35753,1
68.43497,81.70359,70.4613,1
66.88469,82.25491,70.56385,1
69.03979,82.10403,70.86725,1
70.13611,82.28265,70.4229,1
71.92891,82.17118,70.47308,1
72.95506,82.25491,70.54636,1
71.90093,82.31454,71.1767,1
71.07868,82.2378,70.78813,1
71.58713,82.29967,71.22272,1
69.64165,82.26132,70.5054,1
65.53742,82.19918,70.52005,1
69.15587,82.1539,70.57259,1
74.51798,82.26346,70.40809,1
71.07868,82.2869,70.80798,1
68.007,82.28265,70.36647,1
70.0325,82.25705,70.47308,1
73.82792,81.84138,70.48191,1
68.007,82.23352,70.68821,1
72.6777,82.20563,70.35753,1
68.22363,81.79194,70.36349,1
74.04951,82.11925,70.35455,1
67.55685,81.96156,70.60164,1
69.11735,82.06918,70.69395,1
67.32272,82.19057,70.45836,1
71.44064,82.21207,70.40512,1
72.12225,81.96818,70.49953,1
69.75001,82.2869,70.43178,1
70.82871,82.31454,70.49073,1
72.44398,82.21851,70.36051,1
73.05376,81.77389,70.86443,1
68.43497,82.28265,70.92612,1
70.82871,82.29542,71.38853,1
67.27513,81.78066,70.59003,1
72.31137,82.20563,70.45541,1
68.80289,82.27625,70.50247,1
68.18073,82.21207,70.49366,1
69.19421,81.54969,70.7226,1
72.12225,82.31029,70.41402,1
72.39118,81.83241,70.65945,1
74.62102,82.04733,70.55219,1
67.78484,82.25705,70.35455,1
66.52803,82.1539,70.38731,1
68.47662,82.01004,70.8193,1
71.32166,81.83016,70.36647,1
70.6364,81.88385,70.64792,1
69.07866,82.29329,70.36647,1
70.89188,82.25064,70.35753,1
71.90093,82.20563,70.58713,1
73.43774,82.23566,70.62481,1
69.96273,82.13442,70.75115,1
69.42082,82.18196,70.57259,1
68.3931,82.17764,70.5142,1
72.39118,81.37649,70.35455,1
69.38346,81.65107,70.55511,1
68.05077,81.20457,70.44951,1
71.95679,82.19057,70.43474,1
73.96156,82.10186,71.06469,1
67.51054,82.26772,71.2685,1
71.49953,82.26346,71.15768,1
69.19421,82.28477,70.42587,1
70.53862,81.58439,70.59583,1
69.92764,81.26226,70.47308,1
69.60524,81.96597,70.68533,1
73.50787,82.27625,70.42587,1
74.49722,82.21851,70.49953,1
70.50578,82.20563,70.46719,1
68.30878,82.16254,70.47014,1
68.35104,82.29329,70.36647,1
73.43774,82.24636,70.50833,1
67.27513,82.23138,70.49073,1
